player_name,week,rb_market_share
T.Coleman,12,0.29545454545454547
L.Bell,6,0.29411764705882354
S.Barkley,9,0.29411764705882354
M.Mack,10,0.29411764705882354
L.Bell,12,0.29310344827586204
S.Michel,4,0.29310344827586204
C.Hyde,12,0.2909090909090909
D.Johnson,6,0.2903225806451613
A.Ekeler,5,0.2903225806451613
D.Johnson,1,0.2891566265060241
M.Ingram,5,0.2876712328767123
A.Kamara,6,0.2857142857142857
D.Johnson,5,0.2857142857142857
D.Cook,6,0.28125
R.Freeman,6,0.2807017543859649
J.Conner,5,0.28
R.Jones,9,0.2777777777777778
K.Johnson,6,0.2777777777777778
R.Freeman,5,0.2777777777777778
R.Jones,4,0.2777777777777778
S.Barkley,10,0.27692307692307694
J.Mixon,8,0.27631578947368424
D.Montgomery,3,0.27586206896551724
